Thời gian xảy ra tai nạn,Ngày xảy ra tai nạn,Quận/Huyện,Phường/Xã,Loại đường,Số người chết,Số người bị thương,Số người thương nặng,Số người thương nhẹ,Nhóm PT1,Phương tiện 1,Nhóm PT2,Phương tiện 2,Thiệt hại ước tính (triệu đồng),Phân loại tai nạn,Tình trạng thời tiết,Hình thức va chạm,Dạng đường,Loại mặt đường,Độ rộng đường,Tình trạng mặt đường,Tổ chức giao thông,Vòng xuyến,Nguyên nhân và Lỗi vi phạm
2:10:00,10/12/2021,Thủ Đức,Linh Trung,Quốc lộ - Nội thị,0,0,0,0,Ô tô con,Ô tô con,,,0,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
21:30:00,9/12/2021,Thủ Đức,Hiệp Bình Chánh,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng - Cầu,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
21:00:00,9/12/2021,Bình Thạnh,28,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Nhỏ hơn 3,5m",Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
20:10:00,9/12/2021,4,3,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Mô tô,"Mô tô, xe máy",Mô tô,10,Nghiêm trọng,Đêm tối,Xe với xe,,,,,,Không,"['Không chấp hành quy định nhường đường tại nơi giao nhau', 'Không chấp hành báo hiệu đường bộ', 'Không chấp hành quy định đội mũ bảo hiểm', 'Sử dụng bia rượu']"
19:00:00,9/12/2021,Thủ Đức,Bình Chiểu,Quốc lộ - Nội thị,0,0,0,0,Ô tô tải,Ô tô tải,Ô tô tải,Tải thùng kín,0,Va chạm giao thông,Đêm tối,Xe với xe,,,,,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
16:30:00,9/12/2021,Bình Tân,Tân Tạo A,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô tải,4,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
16:15:00,9/12/2021,9,Phú Hữu,Đường tỉnh,0,1,1,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,,,,,,Không,"['Không chú ý quan sát', 'Không thực hiện đúng quy trình thao tác lái xe']"
15:15:00,9/12/2021,2,Thạnh Mỹ Lợi,Đường tỉnh,0,0,0,0,Ô tô tải,Đầu kéo,"Rơ mooc, Sơ mi rơ mooc",Rơ moóc,0,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Không chú ý quan sát']
14:20:00,9/12/2021,9,Phú Hữu,Đường tỉnh - Nội thị,0,0,0,0,Ô tô tải,Tải có mui,Ô tô tải,Tải thùng kín,0,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Không chú ý quan sát']
11:45:00,9/12/2021,Tân Phú,Hòa Thạnh,Đường huyện - Nội thị,1,0,0,0,Xe thô sơ,Xe đạp,Ô tô tải,Ô tô tải,0.3,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
7:36:00,9/12/2021,Hóc Môn,Bà Điểm,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô khách,Ô tô Khách từ 10 đến 16 chỗ,0.7,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
2:30:00,9/12/2021,Bình Tân,Bình Hưng Hòa A,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,1,Nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,Cong cua,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
22:20:00,8/12/2021,Tân Bình,2,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,0.5,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường một chiều,Không,['Không chấp hành báo hiệu đường bộ']
7:50:00,8/12/2021,Bình Chánh,Vĩnh Lộc A,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Nhỏ hơn 3,5m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
0:50:00,8/12/2021,Bình Tân,Bình Trị Đông A,Quốc lộ - Nội thị,0,0,0,0,Ô tô tải,Đầu kéo,,,0,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
23:45:00,7/12/2021,Bình Thạnh,13,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,1,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Mệt mỏi, ngủ gật']"
17:50:00,7/12/2021,Nhà Bè,Phước Kiển,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Mô tô,"Mô tô, xe máy",Mô tô,4,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
22:35:00,6/12/2021,Bình Tân,Tân Tạo,Quốc lộ,1,0,0,0,"Mô tô, xe máy",Mô tô,,,0,Nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
21:30:00,6/12/2021,Gò Vấp,4,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh dưới 50cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,1,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường hai chiều,Không,['Không chấp hành báo hiệu đường bộ']
18:30:00,6/12/2021,Tân Bình,4,Đường tỉnh - Nội thị,0,0,0,0,Ô tô tải,Tải VAN,Ô tô con,Ô tô con,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
18:15:00,6/12/2021,Thủ Đức,Bình Chiểu,Quốc lộ - Nội thị,0,0,0,0,Ô tô tải,Ô tô tải,,,0,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
12:38:00,6/12/2021,12,Trung Mỹ Tây,Đường huyện,1,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Nghiêm trọng,Nắng,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,"['Không chú ý quan sát', 'Không thực hiện đúng quy trình thao tác lái xe']"
23:30:00,5/12/2021,Bình Thạnh,11,Khác,0,1,0,1,"Mô tô, xe máy",Hai bánh từ trên 175cm3,,,4,Va chạm giao thông,Râm,Phương tiện tự gây tai nạn,Cong cua,Bê tông nhựa,"Nhỏ hơn 3,5m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
22:10:00,5/12/2021,Hóc Môn,Xuân Thới Đông,Đường tỉnh,2,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,9,Rất nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
22:00:00,5/12/2021,2,Thảo Điền,Đường tỉnh - Nội thị,0,1,1,0,Ô tô tải,Tải có mui,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường hai chiều,Không,['Không chấp hành báo hiệu đường bộ']
20:00:00,5/12/2021,Bình Chánh,Vĩnh Lộc A,Đường huyện,0,2,0,2,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,,Không,['Chuyển hướng không đúng quy định']
18:30:00,5/12/2021,Thủ Đức,Hiệp Bình Phước,Quốc lộ - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô tải,4,Va chạm giao thông,Đêm tối,Xe với xe,,,,,,Không,['Chuyển hướng không đúng quy định']
16:15:00,5/12/2021,Nhà Bè,Phú Xuân,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,3,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
13:55:00,5/12/2021,Củ Chi,Tân Phú Trung,Đường xã - Nông thôn,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Tải thùng kín,4,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông xi măng,"Từ 3,5m đến 5,5m",Khô,Đường hai chiều,Không,"['Không chấp hành quy định nhường đường tại nơi giao nhau', 'Không chấp hành báo hiệu đường bộ']"
12:30:00,5/12/2021,Nhà Bè,Phước Kiển,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô con,Ô tô con,3,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
12:30:00,5/12/2021,3,6,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,4,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
11:15:00,5/12/2021,Bình Chánh,Tân Quý Tây,Đường tỉnh - Nông thôn,0,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô con,Ô tô con,1,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường một chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
22:10:00,4/12/2021,Củ Chi,Phước Vĩnh An,Đường huyện,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô chở hàng (Ô tô tải),5,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
19:30:00,4/12/2021,6,3,Đường huyện,0,1,0,1,"Mô tô, xe máy",Mô tô,,,0.5,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường một chiều,Không,['Không chú ý quan sát']
18:20:00,4/12/2021,9,Tăng Nhơn Phú B,Đường xã - Nội thị,1,1,1,0,"Mô tô, xe máy",Mô tô,,,4,Nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
18:00:00,4/12/2021,Bình Thạnh,11,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
11:00:00,4/12/2021,Bình Thạnh,15,Đường tỉnh - Nội thị,0,1,0,1,Ô tô tải,Tải thùng kín,"Mô tô, xe máy",Hai bánh dưới 50cm3,1,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
8:40:00,4/12/2021,Bình Thạnh,13,Đường tỉnh - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh dưới 50cm3,4,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
0:55:00,4/12/2021,Bình Chánh,Lê Minh Xuân,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Đầu kéo,3,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,,Không,['Chuyển hướng không đúng quy định']
23:35:00,3/12/2021,Nhà Bè,Phước Kiển,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Rơ mooc, Sơ mi rơ mooc",Rơ moóc tải đông lạnh,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường một chiều,Không,['Không chú ý quan sát']
